tem,tur,elec,PH,oxy
18.2,30.2,3369,7.3,5.5
18.3,30.7,3382.2,7.3,5.8
18.3,32.2,3448.6,7.3,6
18.4,33.7,3518.6,7.3,5.8
18.3,34.5,3587.6,7.3,5.2
18.2,36,3674.1,7.3,4.6
18.2,38.4,3785.2,7.3,4
18.1,41.4,3871.1,7.3,3.6
18.1,44.9,3924.9,7.3,3.4
18.1,48.3,3940.1,7.3,3.4
18,51.2,3890.6,7.3,3.5
18,53.2,3784.7,7.3,3.8
17.9,52.7,3673.3,7.3,3.9
17.8,50.3,3634.4,7.3,3.8
17.8,46.7,3676.1,7.3,3.6
17.8,43.8,3762.9,7.3,3.4
17.7,41,3765.1,7.3,3.2
17.5,38.4,3703.8,7.3,3.2
17.4,36.4,3681.5,7.3,3.3
17.4,35.4,3706.4,7.3,3.4
17.4,35,3718,7.3,3.5
17.4,35.5,3736.2,7.3,3.6
17.5,36.5,3764.6,7.3,3.5
17.6,38.1,3802.9,7.3,3.6
17.7,40,3850.4,7.3,3.7
17.8,43.3,3880.8,7.3,4
17.9,48,3918.1,7.3,4.4
18,54.1,4060.7,7.4,4.8
18.1,59.6,4220.8,7.4,5.2
18.1,63.6,4354.5,7.5,5.5
18.1,65.7,4455.4,7.5,5.4
18,66.1,4501.7,7.5,5.2
18,64.5,4536.4,7.5,4.9
18,61.2,4527.7,7.5,4.8
17.9,56.6,4504.6,7.5,4.7
17.9,52.3,4499.9,7.5,4.5
17.9,50.7,4536.3,7.5,4.2
17.9,48.6,4558,7.5,4
17.8,45.9,4583.6,7.5,3.9
17.8,43.2,4622.9,7.4,3.7
17.8,40.9,4619.4,7.5,3.7
17.7,39,4569.9,7.5,3.8
17.6,38.1,4483.9,7.5,4.1
17.5,38.2,4377.4,7.5,4.5
17.5,39.4,4289.1,7.5,4.9
17.6,41.6,4246.9,7.5,5.2
17.7,43.3,4236.7,7.6,5.5
17.9,44.7,4242.2,7.6,6
18.1,44.9,4240,7.7,6.9
18.3,44,4236.2,7.8,7.8
18.5,42.5,4231.7,7.9,8.4
18.5,41.2,4249.8,7.9,8.4
18.5,41.3,4276.1,7.9,8.3
18.5,43.6,4287.9,7.9,8.3
18.5,46.6,4279.3,7.9,8.2
18.5,50.6,4244.2,7.9,8.1
18.6,55.5,4159.2,7.9,8
18.7,58.9,4018.6,7.8,7.6
18.7,58.4,3802.1,7.8,7.1
18.6,52.4,3511.9,7.7,6.5
18.5,44.3,3183.8,7.7,6.2
18.4,39.1,2958.8,7.6,5.9
